Lot,Temperature,Pressure,Power,GasFlow,Defects,Yield
L001,476.4,2.81,821.0,124.7,17,88.44
L002,481.1,3.01,813.9,116.7,21,85.75
L003,455.2,1.92,800.9,115.1,3,98.45
L004,462.2,2.31,790.3,120.0,7,94.6
L005,448.1,2.07,810.5,119.0,3,96.48
L006,448.1,2.1,805.9,117.3,2,99.39
L007,462.6,2.08,813.4,124.2,5,96.09
L008,456.1,2.03,809.5,125.7,6,93.17
L009,446.2,2.21,815.7,120.5,5,95.57
L010,454.3,2.03,792.0,128.9,7,95.4
L011,446.3,2.25,819.8,113.1,3,97.91
L012,446.3,2.19,803.0,118.8,3,99.37
L013,451.9,2.15,831.1,115.7,2,97.43
L014,434.7,2.02,789.7,108.8,11,91.0
L015,436.2,2.08,826.0,119.5,8,95.41
L016,445.5,2.35,803.0,119.3,6,97.64
L017,441.9,2.3,790.2,129.1,7,95.81
L018,452.5,2.0,792.7,123.8,6,94.82
L019,442.7,2.22,795.2,113.9,4,97.23
L020,470.1,3.02,806.4,131.1,15,91.57
L021,461.7,1.87,807.8,127.3,8,94.58
L022,448.2,2.31,791.4,123.5,7,94.92
L023,450.5,2.07,799.6,118.6,2,99.29
L024,438.6,2.31,832.1,114.2,9,94.27
L025,445.6,2.05,825.9,117.8,5,96.75
L026,450.9,1.84,806.5,126.5,5,96.89
L027,440.8,1.87,800.6,131.3,7,96.17
L028,453.0,2.21,801.8,129.3,5,95.31
L029,445.2,2.25,809.2,117.1,5,96.89
L030,447.7,2.02,784.7,113.3,2,99.89
L031,445.2,2.33,796.1,120.8,6,95.44
L032,464.8,1.87,775.0,109.4,11,92.22
L033,449.9,2.19,806.0,121.9,3,98.15
L034,441.5,1.96,809.7,119.1,5,96.81
L035,454.5,2.5,792.8,117.2,4,97.45
L036,440.2,2.21,823.6,110.4,3,97.7
L037,451.7,2.03,781.6,123.1,5,95.14
L038,434.3,2.12,778.0,116.8,6,95.81
L039,439.4,2.4,803.4,113.0,4,95.96
L040,483.4,2.71,815.7,102.8,19,89.52
L041,455.9,2.37,825.3,119.8,7,95.53
L042,451.4,1.97,793.1,130.6,3,96.4
L043,449.1,2.31,816.2,130.0,3,98.16
L044,447.6,2.49,799.4,117.3,1,97.44
L045,438.2,1.71,797.4,116.4,11,93.58
L046,444.2,2.04,813.3,122.8,4,97.12
L047,446.3,2.32,809.8,114.0,5,94.58
L048,458.5,2.16,776.4,121.8,2,98.34
L049,452.7,2.27,822.1,124.6,5,96.1
L050,435.9,2.08,820.7,127.4,7,94.53
L051,452.6,2.22,790.6,119.4,1,98.22
L052,446.9,2.17,805.9,118.8,3,97.09
L053,444.6,2.43,807.4,114.7,5,96.31
L054,454.9,2.25,803.9,115.0,6,97.0
L055,458.2,2.27,791.7,118.6,5,95.9
L056,457.5,2.12,789.9,122.2,7,95.88
L057,443.3,2.1,799.6,125.5,5,95.47
L058,458.5,2.44,817.6,115.2,8,93.23
L059,452.7,2.28,808.2,129.0,4,98.61
L060,481.0,2.94,794.4,118.4,19,87.18
L061,446.2,2.26,811.6,119.9,2,98.31
L062,448.5,2.62,757.3,115.5,6,95.83
L063,467.2,2.91,817.2,105.5,12,93.31
L064,440.4,2.13,773.9,125.3,8,94.41
L065,456.5,2.44,794.6,124.4,8,94.53
L066,460.8,2.12,783.2,118.3,7,94.07
L067,449.4,1.79,780.6,120.4,3,98.09
L068,458.0,2.0,817.4,123.1,7,93.49
L069,474.3,2.28,793.0,110.6,9,93.39
L070,444.8,2.13,805.2,116.8,7,95.06
L071,466.9,3.19,799.3,124.8,13,92.03
L072,462.3,2.54,807.2,112.5,8,94.91
L073,493.1,3.17,801.2,121.8,22,87.14
L074,462.5,2.16,780.8,111.9,6,95.53
L075,429.0,2.37,814.9,122.8,12,92.61
L076,456.6,1.76,792.6,119.8,7,95.79
L077,450.7,2.25,776.7,110.3,3,97.18
L078,447.6,2.35,793.6,127.0,2,98.74
L079,450.7,1.9,822.5,115.6,6,95.38
L080,434.1,2.43,812.8,115.1,11,93.17
L081,448.2,2.27,794.8,121.2,3,96.65
L082,481.7,3.02,794.8,126.9,20,87.01
L083,461.8,2.33,795.2,113.9,7,94.16
L084,445.9,2.65,831.2,120.4,8,94.28
L085,443.5,2.24,805.7,122.6,2,97.47
L086,446.0,2.25,806.5,124.2,4,97.12
L087,488.3,3.37,815.5,121.1,22,86.22
L088,452.6,2.03,803.6,117.8,4,96.01
L089,445.8,2.37,796.1,115.0,5,97.82
L090,454.1,2.03,797.1,120.5,5,95.87
L091,450.8,2.21,798.9,113.6,3,95.98
L092,457.7,2.1,799.4,102.5,4,97.16
L093,444.4,2.3,810.9,122.6,6,96.27
L094,447.4,2.27,800.8,125.4,5,96.67
L095,446.9,2.41,811.0,105.8,2,99.4
L096,438.3,2.1,798.8,113.9,6,95.57
L097,452.4,2.15,801.2,123.7,2,97.87
L098,452.1,2.0,770.0,132.3,3,97.15
L099,450.0,2.11,813.7,120.1,2,97.48
L100,448.1,2.28,805.2,115.6,5,97.05
L101,438.7,2.35,815.0,118.9,9,93.78
L102,446.6,2.02,756.6,128.2,5,95.81
L103,469.3,2.86,831.3,116.1,13,92.34
L104,443.6,2.47,797.9,115.2,7,94.73
L105,448.7,2.28,816.6,117.1,0,98.92
L106,453.2,2.58,784.4,114.3,4,97.43
L107,465.1,2.05,809.2,120.7,5,95.97
L108,451.4,1.95,784.2,129.7,3,97.64
L109,452.1,1.84,790.6,121.9,4,96.1
L110,469.5,3.41,828.7,118.5,19,88.79
L111,434.6,2.33,797.1,118.2,4,98.09
L112,449.8,2.19,803.3,110.6,2,97.63
L113,471.6,2.94,813.1,125.3,15,90.52
L114,469.7,1.97,807.4,119.5,11,94.03
L115,448.5,2.69,802.3,118.9,8,93.85
L116,452.4,2.23,805.5,139.2,3,96.65
L117,449.7,2.22,836.1,121.8,4,97.67
L118,440.7,2.35,799.1,115.5,3,98.01
L119,459.1,2.3,803.0,117.4,4,96.94
L120,456.0,2.24,815.8,126.9,2,98.66
L121,456.3,2.04,816.6,120.7,6,95.06
L122,442.7,2.29,817.8,111.4,6,95.55
L123,461.2,2.58,809.6,125.5,9,95.14
L124,438.8,2.47,782.9,116.0,7,95.97
L125,454.7,2.52,824.5,131.2,5,95.06
L126,467.5,2.1,782.8,126.5,9,92.51
L127,442.1,2.0,804.5,117.3,5,95.71
L128,445.5,2.17,788.7,127.7,2,98.11
L129,473.0,2.52,799.0,120.4,11,93.39
L130,467.3,3.63,804.9,125.1,16,89.65
L131,437.6,1.86,804.8,122.9,7,95.07
L132,450.5,2.51,806.3,114.9,2,99.51
L133,441.5,2.17,824.2,116.1,6,94.67
L134,453.8,2.11,806.8,126.2,6,94.35
L135,442.6,2.0,796.3,118.0,6,94.96
L136,480.0,2.52,814.5,117.6,15,91.84
L137,443.7,2.36,817.8,114.3,6,96.34
L138,447.4,2.21,781.6,122.5,4,98.66
L139,456.5,1.94,809.0,132.4,5,94.65
L140,440.2,1.94,810.5,113.6,10,93.86
L141,451.8,2.13,795.5,120.1,2,95.57
L142,477.9,3.27,820.6,128.5,20,86.04
L143,437.1,2.15,797.7,119.5,8,95.5
L144,451.5,1.9,801.9,122.7,1,99.16
L145,452.1,2.15,797.4,113.6,3,96.88
L146,456.3,2.15,800.2,122.6,5,98.0
